ID,publisher,publishedCount,avgCitation
S101949793,Sensors,9,5.666666666666668
S4210199657,IEEE Transactions on Intelligent Vehicles,6,11.166666666666668
S2485537415,IEEE Access,5,3.2
S13144211,Expert Systems with Applications,5,10.6
S2913398011,World Electric Vehicle Journal,3,19.0
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,2,66.0
S4210184358,Smart Cities,1,0.0
S202381698,PLoS ONE,1,7.0
S155689059,IET Intelligent Transport Systems,1,3.0
S157921468,ACM Computing Surveys,1,5.0
S189694085,IEEE Sensors Journal,1,2.0
S4387281017,Highlights in Science Engineering and Technology,1,1.0
S34881539,IEEE Transactions on Automation Science and Engineering,1,3.0
S23629721,International Journal of Advanced Computer Science and Applications,1,9.0
S2497375143,Energy,1,7.0
S4210202905,Electronics,1,6.0
S133768115,Robotics and Autonomous Systems,1,117.0
S4210193350,Drones,1,6.0
S4210228075,Computers,1,8.0
S190629608,Algorithms,1,46.0
