ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,18,44.333333333333336
S2485537415,IEEE Access,14,43.857142857142854
S4210191458,Proceedings of the AAAI Conference on Artificial Intelligence,10,84.8
S189694085,IEEE Sensors Journal,6,39.5
S43295729,Remote Sensing,5,57.4
S101949793,Sensors,5,23.0
S10892749,IEEE Transactions on Instrumentation and Measurement,5,36.2
S199944782,IEEE Transactions on Pattern Analysis and Machine Intelligence,4,1400.25
S144620930,IEEE Transactions on Robotics,4,159.25
S45693802,Neurocomputing,4,29.25
S144771191,IEEE Transactions on Intelligent Transportation Systems,4,20.25
S900972176,Engineering Applications of Artificial Intelligence,3,63.0
S13144211,Expert Systems with Applications,3,77.33333333333334
S58031724,IEEE Transactions on Industrial Electronics,3,19.333333333333332
S91329792,Journal of Intelligent & Robotic Systems,3,29.333333333333336
S4210202905,Electronics,2,295.5
S147767848,Measurement,2,15.5
S144091109,Autonomous Robots,2,8.0
S2488537894,IEEE Transactions on Cognitive and Developmental Systems,2,5.0
S133768115,Robotics and Autonomous Systems,2,7.5
