ID,publisher,publishedCount,avgCitation
S4210169774,IEEE Robotics and Automation Letters,27,29.037037037037038
S2485537415,IEEE Access,24,31.624999999999993
S4210199657,IEEE Transactions on Intelligent Vehicles,20,51.25
S144771191,IEEE Transactions on Intelligent Transportation Systems,16,45.24999999999999
S101949793,Sensors,13,18.615384615384617
S10936095,IEEE Transactions on Vehicular Technology,10,29.000000000000004
S43295729,Remote Sensing,8,59.74999999999999
S13144211,Expert Systems with Applications,6,79.33333333333333
S189694085,IEEE Sensors Journal,5,36.2
S91329792,Journal of Intelligent & Robotic Systems,5,39.2
S147897268,Neural Computing and Applications,4,96.25
S144620930,IEEE Transactions on Robotics,4,86.5
S4210185304,Arabian Journal for Science and Engineering,3,28.0
S151299380,Journal of Field Robotics,3,24.0
S34881539,IEEE Transactions on Automation Science and Engineering,3,60.33333333333333
S58031724,IEEE Transactions on Industrial Electronics,3,52.0
S4210202905,Electronics,3,21.666666666666664
S4210213233,Science Robotics,3,161.33333333333331
S2898405271,IFAC-PapersOnLine,3,9.666666666666666
S235346,Wireless Communications and Mobile Computing,2,63.0
